ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:35 757m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0.624,-1.6524658,-0.30393066
0.625,-1.6583252,-0.30275879
0.626,-1.6622314,-0.29924316
0.627,-1.6290283,-0.29416504
0.628,-1.5919189,-0.28869629
0.629,-1.5372314,-0.27619629
0.63,-1.4708252,-0.26604004
0.631,-1.4044189,-0.25197754
0.632,-1.3282471,-0.23674316
0.633,-1.2286377,-0.21994629
0.634,-1.1270752,-0.19963379
0.635,-1.0177002,-0.17971191
0.636,-0.89465332,-0.15549316
0.637,-0.7755127,-0.13361816
0.638,-0.63684082,-0.10822754
0.639,-0.4864502,-0.082836914
0.64,-0.35168457,-0.055102539
0.641,-0.20129395,-0.029321289
0.642,-0.052856445,-0.0039306641
0.643,0.095581055,0.022241211
0.644,0.2401123,0.049975586
0.645,0.39245605,0.076147461
0.646,0.52526855,0.10270996
0.647,0.65612793,0.12497559
0.648,0.74206543,0.14606934
0.649,0.90612793,0.17106934
0.65,0.99987793,0.19020996
0.651,1.1248779,0.20935059
0.652,1.2264404,0.22927246
0.653,1.3065186,0.25153809
0.654,1.4178467,0.25935059
0.655,1.4666748,0.27028809
0.656,1.5350342,0.28200684
0.657,1.5955811,0.29138184
0.658,1.6209717,0.29567871
0.659,1.6619873,0.29958496
0.66,1.6697998,0.29919434
0.661,1.6737061,0.29919434
0.662,1.6561279,0.29645996
0.663,1.6190186,0.29020996
0.664,1.5760498,0.28122559
0.665,1.5115967,0.27145996
0.666,1.4432373,0.25739746
0.667,1.3670654,0.24255371
0.668,1.2733154,0.22614746
0.669,1.1912842,0.20974121
0.67,1.0877686,0.18981934
0.671,0.9588623,0.16794434
0.672,0.83190918,0.14567871
0.673,0.7088623,0.12341309
0.674,0.5604248,0.099194336
0.675,0.4197998,0.073803711
0.676,0.27526855,0.046850586
0.677,0.12878418,0.021069336
0.678,-0.0020751953,-0.0023681641
0.679,-0.09777832,-0.025805664
0.68,-0.2286377,-0.051977539
0.681,-0.39074707,-0.077368164
0.682,-0.50793457,-0.10197754
0.683,-0.66809082,-0.12541504
0.684,-0.79504395,-0.14885254
0.685,-0.91418457,-0.17033691
0.686,-1.0391846,-0.19377441
0.687,-1.1524658,-0.20939941
0.688,-1.2520752,-0.22971191
0.689,-1.3262939,-0.24494629
0.69,-1.4122314,-0.25627441
0.691,-1.4864502,-0.26721191
0.692,-1.5509033,-0.27736816
0.693,-1.5938721,-0.28635254
0.694,-1.6505127,-0.28986816
0.695,-1.6524658,-0.29729004
0.696,-1.6719971,-0.29846191
0.697,-1.6641846,-0.29611816
0.698,-1.6485596,-0.29299316
0.699,-1.6173096,-0.28713379
0.7,-1.5645752,-0.27854004
