ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:56:52 797m





Relative time,HS3(27295).Ch2
s,V
0.695,-0.24805908
0.696,-0.25411377
0.697,-0.25977783
0.698,-0.26290283
0.699,-0.26641846
0.7,-0.26583252
0.701,-0.26446533
0.702,-0.26212158
0.703,-0.26173096
0.704,-0.25743408
0.705,-0.25235596
0.706,-0.24512939
0.707,-0.23907471
0.708,-0.22911377
0.709,-0.21973877
0.71,-0.20821533
0.711,-0.19571533
0.712,-0.18380127
0.713,-0.17149658
0.714,-0.15704346
0.715,-0.14259033
0.716,-0.12696533
0.717,-0.10938721
0.718,-0.09317627
0.719,-0.075012207
0.72,-0.05567627
0.721,-0.038098145
0.722,-0.01661377
0.723,0.003894043
0.724,0.022839355
0.725,0.040612793
0.726,0.05838623
0.727,0.07557373
0.728,0.093737793
0.729,0.11014404
0.73,0.12889404
0.731,0.14412842
0.732,0.15975342
0.733,0.17518311
0.734,0.18787842
0.735,0.20174561
0.736,0.21365967
0.737,0.22498779
0.738,0.23514404
0.739,0.24471436
0.74,0.25350342
0.741,0.26170654
0.742,0.26697998
0.743,0.27108154
0.744,0.27283936
0.745,0.27733154
0.746,0.27557373
0.747,0.27498779
0.748,0.27479248
0.749,0.26971436
0.75,0.26405029
0.751,0.25799561
0.752,0.25194092
0.753,0.24393311
0.754,0.23319092
0.755,0.22303467
0.756,0.21112061
0.757,0.19764404
0.758,0.18553467
0.759,0.17069092
0.76,0.15487061
0.761,0.14178467
0.762,0.12479248
0.763,0.10721436
0.764,0.090612793
0.765,0.073620605
0.766,0.057800293
0.767,0.039440918
0.768,0.019714355
0.769,0.00018310547
0.77,-0.019543457
0.771,-0.037121582
0.772,-0.053527832
0.773,-0.071105957
0.774,-0.091027832
0.775,-0.11192627
0.776,-0.12852783
0.777,-0.14122314
0.778,-0.15860596
0.779,-0.17286377
0.78,-0.18536377
0.781,-0.19864502
0.782,-0.20958252
0.783,-0.22012939
0.784,-0.22989502
0.785,-0.23809814
0.786,-0.24591064
0.787,-0.25294189
0.788,-0.25743408
0.789,-0.26134033
0.79,-0.26251221
0.791,-0.26563721
0.792,-0.26524658
0.793,-0.26387939
0.794,-0.26329346
0.795,-0.25958252
0.796,-0.25352783
0.797,-0.24942627
0.798,-0.23829346
0.799,-0.23243408
0.8,-0.22149658
0.801,-0.21134033
0.802,-0.20157471
0.803,-0.18809814
0.804,-0.17403564
0.805,-0.16036377
0.806,-0.14434814
0.807,-0.12813721
0.808,-0.11094971
0.809,-0.095715332
0.81,-0.076184082
0.811,-0.05802002
0.812,-0.03848877
0.813,-0.01583252
0.814,0.0029174805
0.815,0.020300293
0.816,0.04197998
0.817,0.058776855
0.818,0.07791748
0.819,0.095300293
0.82,0.11209717
0.821,0.13221436
0.822,0.14803467
0.823,0.16522217
0.824,0.17811279
0.825,0.19197998
0.826,0.20740967
0.827,0.21834717
0.828,0.22928467
0.829,0.23944092
0.83,0.24901123
0.831,0.25780029
0.832,0.26346436
0.833,0.27030029
0.834,0.27342529
0.835,0.27518311
0.836,0.27694092
0.837,0.27635498
0.838,0.27694092
0.839,0.27342529
0.84,0.26932373
0.841,0.26424561
0.842,0.25799561
